Id,name,company,location,position,type
AyIb,AyaIbrahim,DeutscheWelle,,Reporterin,person
BaBe,BardBerlinArtsUniversity,,Berlin,,education
BaNeNa,BadischenNeuestenNachrichten,BadendruckGmbH,Karlsruhe,,employment
BaRu,BayerischerRundfunk,,Muenchen,,employment
BAUNWE,BauhausUniversitaetWeimar,,Weimar,,education
BeFe,BerlinerFestspiele,,Berlin,,employment
BeKu,BerlinerKurier,BerlinerKurier,Berlin,,employment
BJVPf,BayrischerJournalistenVerbandPressefreiheitpreis,,Muenchen,,preis
BLD,Bild,AxelSpringerSE,Berlin,,employment
BR,BayerischerRundfunk,,Muenchen,,employment
BuJo,BurdaJournalistenschule,HubertBurdaMedia,Offenburg,,education
BuPoBi,BundeszentraleFuerPolitischeBildung,,Bonn,,employment
CaDr,CarolinaDrueten,WeltN24,Berlin,Redakteurin,person
CarSc,CarolinSchulz,Onmeda,Mainz,Chefredakteurin,person
CaSc,CathrinSchmiegel,DerSpiegel,,Redakteurin,person
CaVe,CarlsenVerlagGmbH,CarlsenVerlagGmbH,Hamburg,,employment
ChMe,ChristinaMetallinos,BayrischerRundfunk,Muenchen,Moderatorin,person
CiHo,CianiSophiaHoeder,RosaMag,Muenchen,FreieMitarbeiterin,person
CIMe,CIVISMedienpreis,AxelSpringerAkademie,,,preis
CiUnLo,CityUniversityofLondon,,London,,education
ClBe,ClaireBeermann,DieZeit,Hamburg,StyleDirector,person
CoBi,CodeForBielefeld,,Bielefeld,,engagement
CoId,CoolIdeasSocietyDeutschland,,,,preis
CoMa,CouragiertMagazin,CouragiertMagazin,,,employment
CoMe,CoburgerMedienpreis,DeutscheJournalistenschule,Muenchen,,preis
Corr,Correctiv,,Essen,,employment
CoUn,ColumbiaUniversityGraduateSchoolofJournalism,,NewYork,,education
CrHe,CristinaHelberg,Correctiv,,Reporterin,person
DAAD,DAADGermanAcademicExchangeService,,Bonn,,engagement
DaBi,DanielaBiehl,RheinNeckarZeitung,Konstanz,FreieJournalistin,person
DaEc,DarmstaedterEcho,EchoLive,Darmstadt,,preis
DaFl,DaphneFlieger,ZDF,Mainz,Redaktionsleiterin,person
DaJoAw,DataJournalismAward,,Berlin,,preis
DaMeJo,DanmarksMedieogJournalisthojskole,,Aarhus,,education
DeJo,DenkfestJournalistin,KulturbueroDerMetropolregionRheinNeckar,,,preis
De,Deezer,,,,employment
DeBu,DeutscherBundestag,,Berlin,,employment
DeFe,DeutscherFernsehpreis,,,,preis
DeFu,Deutschlandfunk,,Koeln,,employment
DeHaZe,DeutscheHandwerksZeitung,,BadWoerischhofen,,employment
DeJoPrLaRe,DeutschesJournalistenProgrammLateinamerikaRecherchestipendium,,,,preis
DeJoSc,DeutschenJournalistenschule,,Muenchen,,education
DeLoJo,DeutscherLokaljournalistenpreis,KonradAdenauerStiftung,Bonn,,preis
DePrOn,DeutscherPreisFuerOnlinekommunikation,,,,preis
DeRaPr,DeutscherRadiopreis,Deutschlandradio,Koeln,,preis
DeRa,Deutschlandradio,,Koeln,,employment
DeRe,DeutscherReporterpreis,WeltN24,Berlin,,preis
DeSp,DerSpiegel,SPIEGELVerlagRudolfAugstein,Hamburg,,employment
DeTa,DerTagesspiegel,VerlagDerTagesspiegelGmbH,Berlin,,employment
DeWe,DeutscheWelle,,Bonn,,employment
DeWi,DeutscherWirtschaftsfilmpreis,BundesministeriumFuerWirtschaftUndEnergie,,,preis
DiMeWo,DigitalMediaWomen,DigitalMediaWomenEV,Hamburg,,engagement
DIMR,DeutschesInstitutFuerMenschenrechteRecherchestipendium,,Berlin,Recherchestipendium,preis
DiRh,DieRheinpfalz,RheinpfalzVerlagUndDruckereiGmbHCoKG,LudwigshafenAmRhein,,employment
DiZe,DieZeit,ZeitverlagGerdBuceriusGmbHuCoKG,Hamburg,,employment
DJS,DeutscheJournalistenschule,,Muenchen,,education
DJU,DeutscheJournalistinnenUnion,verdi,Berlin,,engagement
DLRG,DeutscheLebensrettungsGesellschaft,,,,engagement
DNt,DPANewsTalent,,Bern,,preis
DoFi,DocuvistaFilmproduktion,,Berlin,,employment
DoSc,DorotheaSchmitz,AxelSpringerAkademie,Berlin,Schuelerin,person
DoTo,DorotheeTorebko,MaerkischeOderzeitung,FrankfurtOder,Redakteurin,person
DPA,DeutschePresseAgentur,DeutschePresseAgenturGmbH,Berlin,,employment
DpIgAw,DPAInfografikAward,WeltN24,Berlin,,preis
DuRa,DunjaRamadan,SuedeutscheZeitung,Muenchen,Redakteurin,person
DuUn,DurhamUniversity,,Durham,,education
EbKaUn,EberhardKarlsUniversitaetTuebingen,,Tuebingen,,education
EcPr,EckensbergerPreis,EckensbergerStiftung,Braunschweig,,preis
EKU,EberhardKarlsUniversitaet,,Tuebingen,,education
ElGa,ElisabethGamperl,SueddeutscheZeitung,Muenchen,ManagingEditor,person
ElHa,ElisaHarlan,BayrischerRundfunk,Muenchen,Redakteurin,person
ElHo,ElisavonHof,DerSpiegel,Hamburg,FreieJournalistin,person
ElMeSc,ElectronicMediaSchool,,Potsdam,,education
ElSc,ElisaSchwarz,SueddeutscheZeitung,Muenchen,Redakteurin,person
EmUl,EmilyUlbricht,DeutschlandfunkKultur,Berlin,FreieJournalistin,person
EnSc,EndeavorScholar,EndeavorFoundation,,,preis
ErZi,EricaZingher,taz,Berlin,Redakteurin,person
EuDiPuAw,EuropeanDigitalPublishingAward,MedienfachverlagOberauer,,,preis
EuNeAw,EuropeanNewspaperAward,WeltN24,Berlin,,preis
EuPa,EuropeanParliament,,Brussels,,employment
